"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 14 10:45:10 CST 2021","Sun Feb 14 10:45:10 CST 2021","0","cases","test_login","Test_login","","","test_searchUser[username0]",""
"passed","Sun Feb 14 16:01:31 CST 2021","Sun Feb 14 16:01:34 CST 2021","2817","cases","test_login","Test_login","","","test_login[listcases1]",""
"passed","Thu Mar 11 10:07:42 CST 2021","Thu Mar 11 10:07:47 CST 2021","5421","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search02[itemList0]",""
"broken","Sun Feb 14 16:04:05 CST 2021","Sun Feb 14 16:04:20 CST 2021","15596","cases","test_login","Test_login","","","test_zsearchUser[username0]",""
"broken","Thu Mar 11 10:08:00 CST 2021","Thu Mar 11 10:08:00 CST 2021","1","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search06[itemList0]",""
"passed","Thu Mar 11 10:07:47 CST 2021","Thu Mar 11 10:07:51 CST 2021","3429","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search03[itemList0]",""
"passed","Thu Mar 11 10:07:35 CST 2021","Thu Mar 11 10:07:42 CST 2021","6896","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search01[itemList0]",""
"broken","Wed Mar 10 11:39:57 CST 2021","Wed Mar 10 11:40:24 CST 2021","27111","cases","test_login","Test_login","","","test_login[listcases0]",""
"passed","Thu Mar 11 10:07:54 CST 2021","Thu Mar 11 10:08:00 CST 2021","5669","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search05[itemList0]",""
"passed","Thu Mar 11 10:07:21 CST 2021","Thu Mar 11 10:07:35 CST 2021","13710","cases","test_login","Test_photoMange","","","test_login[listcases0]",""
"broken","Sun Feb 14 10:45:09 CST 2021","Sun Feb 14 10:45:09 CST 2021","0","cases","test_login","Test_login","","","test_loginSuccess[listcases1]",""
"broken","Sun Feb 14 10:45:00 CST 2021","Sun Feb 14 10:45:00 CST 2021","0","cases","test_login","Test_login","","","test_loginSuccess[listcases0]",""
"passed","Thu Mar 11 10:07:51 CST 2021","Thu Mar 11 10:07:54 CST 2021","3444","cases","test_login","Test_photoMange","","","test_photo_manage_kewords_search04[itemList0]",""
